"","space","start","end","width","peak","feature","names","strand","start_position","end_position","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","external_gene_name","V1","V2","V3","V5"
"1","1",54926533,54926745,213,"Pool1_androgen_vs_vehicle_cond2_1","ENSG00000233203","Pool1_androgen_vs_vehicle_cond2_1 ENSG00000233203","+",54887563,54888850,"downstream",38970,37683,"NearestStart","RP11-67L3.4","1",54926533,54926745,8.64458
"2","10",130360216,130360651,436,"Pool1_androgen_vs_vehicle_cond2_2","ENSG00000276375","Pool1_androgen_vs_vehicle_cond2_2 ENSG00000276375","-",130282445,130286604,"upstream",-73612,73612,"NearestStart","RP11-339B9.1","10",130360216,130360651,8.43334
"3","11",11246688,11246960,273,"Pool1_androgen_vs_vehicle_cond2_3","ENSG00000255260","Pool1_androgen_vs_vehicle_cond2_3 ENSG00000255260","-",11243188,11243715,"upstream",-2973,2973,"NearestStart","CTD-3224I3.3","11",11246688,11246960,11.55838
"4","11",116130822,116131049,228,"Pool1_androgen_vs_vehicle_cond2_4","ENSG00000239600","Pool1_androgen_vs_vehicle_cond2_4 ENSG00000239600","-",115951105,115951491,"upstream",-179331,179331,"NearestStart","AP000797.2","11",116130822,116131049,4.64354
"5","14",76564664,76564897,234,"Pool1_androgen_vs_vehicle_cond2_5","ENSG00000271423","Pool1_androgen_vs_vehicle_cond2_5 ENSG00000271423","+",76633714,76634028,"upstream",-69050,68817,"NearestStart","CYCSP1","14",76564664,76564897,12.42283
"6","18",63331175,63331420,246,"Pool1_androgen_vs_vehicle_cond2_6","ENSG00000171791","Pool1_androgen_vs_vehicle_cond2_6 ENSG00000171791","-",63123346,63320128,"upstream",-11047,11047,"NearestStart","BCL2","18",63331175,63331420,8.96977
"7","2",1221840,1222211,372,"Pool1_androgen_vs_vehicle_cond2_7","ENSG00000236665","Pool1_androgen_vs_vehicle_cond2_7 ENSG00000236665","-",1158310,1160424,"upstream",-61416,61416,"NearestStart","AC114808.2","2",1221840,1222211,19.38197
"8","2",88181318,88181574,257,"Pool1_androgen_vs_vehicle_cond2_8","ENSG00000144115","Pool1_androgen_vs_vehicle_cond2_8 ENSG00000144115","+",88170295,88186636,"inside",11023,5062,"NearestStart","THNSL2","2",88181318,88181574,18.70048
"9","21",8210739,8211069,331,"Pool1_androgen_vs_vehicle_cond2_10","ENSG00000280800","Pool1_androgen_vs_vehicle_cond2_10 ENSG00000280800","-",8210384,8211306,"inside",567,237,"NearestStart","CH507-513H4.6","21",8210739,8211069,4.79966
"10","21",8254976,8255212,237,"Pool1_androgen_vs_vehicle_cond2_11","ENSG00000281383","Pool1_androgen_vs_vehicle_cond2_11 ENSG00000281383","-",8254592,8255514,"inside",538,302,"NearestStart","CH507-513H4.5","21",8254976,8255212,6.68446
"11","21",8259721,8260140,420,"Pool1_androgen_vs_vehicle_cond2_12","ENSG00000278047","Pool1_androgen_vs_vehicle_cond2_12 ENSG00000278047","+",8258914,8259005,"downstream",807,716,"NearestStart","FP671120.6","21",8259721,8260140,6.06056
"12","21",8399491,8399772,282,"Pool1_androgen_vs_vehicle_cond2_13","ENSG00000275209","Pool1_androgen_vs_vehicle_cond2_13 ENSG00000275209","+",8400991,8401039,"upstream",-1500,1219,"NearestStart","FP236383.4","21",8399491,8399772,5.17226
"13","21",38743133,38743340,208,"Pool1_androgen_vs_vehicle_cond2_14","ENSG00000223806","Pool1_androgen_vs_vehicle_cond2_14 ENSG00000223806","-",38739021,38747460,"inside",4327,4112,"NearestStart","LINC00114","21",38743133,38743340,5.03493
"14","21",8210008,8210226,219,"Pool1_androgen_vs_vehicle_cond2_9","ENSG00000280800","Pool1_androgen_vs_vehicle_cond2_9 ENSG00000280800","-",8210384,8211306,"downstream",1298,158,"NearestStart","CH507-513H4.6","21",8210008,8210226,7.48149
"15","3",67069630,67069847,218,"Pool1_androgen_vs_vehicle_cond2_15","ENSG00000163376","Pool1_androgen_vs_vehicle_cond2_15 ENSG00000163376","+",66998307,67011210,"downstream",71323,58420,"NearestStart","KBTBD8","3",67069630,67069847,8.86393
"16","5",11816756,11817234,479,"Pool1_androgen_vs_vehicle_cond2_16","ENSG00000169862","Pool1_androgen_vs_vehicle_cond2_16 ENSG00000169862","-",10971840,11904043,"inside",87287,86809,"NearestStart","CTNND2","5",11816756,11817234,16.11636
"17","5",110620519,110620748,230,"Pool1_androgen_vs_vehicle_cond2_17","ENSG00000207177","Pool1_androgen_vs_vehicle_cond2_17 ENSG00000207177","-",110684794,110684927,"downstream",64408,64046,"NearestStart","SNORA51","5",110620519,110620748,9.18948
"18","7",157461225,157461519,295,"Pool1_androgen_vs_vehicle_cond2_18","ENSG00000234210","Pool1_androgen_vs_vehicle_cond2_18 ENSG00000234210","+",157466231,157499716,"upstream",-5006,4712,"NearestStart","AC006372.4","7",157461225,157461519,8.86863
"19","8",36349447,36349650,204,"Pool1_androgen_vs_vehicle_cond2_19","ENSG00000254320","Pool1_androgen_vs_vehicle_cond2_19 ENSG00000254320","-",36321039,36321404,"upstream",-28043,28043,"NearestStart","RP11-593P24.4","8",36349447,36349650,5.13934
