"","space","start","end","width","peak","feature","names","strand","start_position","end_position","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","external_gene_name","V1","V2","V3","V5"
"1","10",65067313,65067566,254,"Pool2_androgen_vs_vehicle_cond1_1","ENSG00000270754","Pool2_androgen_vs_vehicle_cond1_1 ENSG00000270754","+",65054460,65055003,"downstream",12853,12310,"NearestStart","NEK4P3","10",65067313,65067566,12.97609
"2","17",48500496,48500699,204,"Pool2_androgen_vs_vehicle_cond1_2","ENSG00000206805","Pool2_androgen_vs_vehicle_cond1_2 ENSG00000206805","+",48479097,48479198,"downstream",21399,21298,"NearestStart","Y_RNA","17",48500496,48500699,14.52144
"3","18",60384576,60384822,247,"Pool2_androgen_vs_vehicle_cond1_3","ENSG00000166603","Pool2_androgen_vs_vehicle_cond1_3 ENSG00000166603","-",60371110,60372775,"upstream",-11801,11801,"NearestStart","MC4R","18",60384576,60384822,19.03474
"4","18",69736615,69736861,247,"Pool2_androgen_vs_vehicle_cond1_4","ENSG00000266840","Pool2_androgen_vs_vehicle_cond1_4 ENSG00000266840","-",69704978,69724975,"upstream",-11640,11640,"NearestStart","RP11-543H23.2","18",69736615,69736861,13.02507
"5","2",95947695,95947931,237,"Pool2_androgen_vs_vehicle_cond1_5","ENSG00000174501","Pool2_androgen_vs_vehicle_cond1_5 ENSG00000174501","-",95836919,95991831,"inside",44136,43900,"NearestStart","ANKRD36C","2",95947695,95947931,10.38146
"6","2",190404107,190404365,259,"Pool2_androgen_vs_vehicle_cond1_6","ENSG00000151690","Pool2_androgen_vs_vehicle_cond1_6 ENSG00000151690","+",190408355,190509205,"upstream",-4248,3990,"NearestStart","MFSD6","2",190404107,190404365,9.67905
"7","20",29892508,29892736,229,"Pool2_androgen_vs_vehicle_cond1_7","ENSG00000204555","Pool2_androgen_vs_vehicle_cond1_7 ENSG00000204555","-",30214798,30214976,"downstream",322468,322062,"NearestStart","CFTRP3","20",29892508,29892736,14.5392
"8","22",11368996,11369224,229,"Pool2_androgen_vs_vehicle_cond1_8","ENSG00000273663","Pool2_androgen_vs_vehicle_cond1_8 ENSG00000273663","+",11456856,11456937,"upstream",-87860,87632,"NearestStart","CU013544.1","22",11368996,11369224,5.48786
"9","3",179091182,179091501,320,"Pool2_androgen_vs_vehicle_cond1_10","ENSG00000200616","Pool2_androgen_vs_vehicle_cond1_10 ENSG00000200616","+",179097731,179097840,"upstream",-6549,6230,"NearestStart","Y_RNA","3",179091182,179091501,17.26001
"10","3",93470400,93470738,339,"Pool2_androgen_vs_vehicle_cond1_9","ENSG00000251727","Pool2_androgen_vs_vehicle_cond1_9 ENSG00000251727","+",93843764,93843862,"upstream",-373364,373026,"NearestStart","RNU6-488P","3",93470400,93470738,7.43173
"11","4",49710574,49710853,280,"Pool2_androgen_vs_vehicle_cond1_11","ENSG00000223099","Pool2_androgen_vs_vehicle_cond1_11 ENSG00000223099","-",49599428,49599509,"upstream",-111065,111065,"NearestStart","AC119751.4","4",49710574,49710853,5.62459
"12","5",49630821,49631103,283,"Pool2_androgen_vs_vehicle_cond1_12","ENSG00000170571","Pool2_androgen_vs_vehicle_cond1_12 ENSG00000170571","-",50396192,50443248,"downstream",812427,765089,"NearestStart","EMB","5",49630821,49631103,6.776
"13","6",39440854,39441091,238,"Pool2_androgen_vs_vehicle_cond1_13","ENSG00000218986","Pool2_androgen_vs_vehicle_cond1_13 ENSG00000218986","+",39353747,39354172,"downstream",87107,86682,"NearestStart","RP1-137F1.3","6",39440854,39441091,9.80059
"14","6",146728963,146729220,258,"Pool2_androgen_vs_vehicle_cond1_14","ENSG00000228283","Pool2_androgen_vs_vehicle_cond1_14 ENSG00000228283","-",146802359,146803824,"downstream",74861,73139,"NearestStart","KATNBL1P6","6",146728963,146729220,12.6401
"15","7",60649897,60650144,248,"Pool2_androgen_vs_vehicle_cond1_15","ENSG00000233918","Pool2_androgen_vs_vehicle_cond1_15 ENSG00000233918","-",62275361,62275678,"downstream",1625781,1625217,"NearestStart","RP11-715L17.1","7",60649897,60650144,7.48524
"16","9",71150938,71151177,240,"Pool2_androgen_vs_vehicle_cond1_16","ENSG00000224437","Pool2_androgen_vs_vehicle_cond1_16 ENSG00000224437","-",70916997,70917501,"upstream",-233437,233437,"NearestStart","PIGUP1","9",71150938,71151177,18.38027
"17","KI270337.1",147,501,355,"Pool2_androgen_vs_vehicle_cond1_17",NA,"Pool2_androgen_vs_vehicle_cond1_17 NA","+",NA,NA,NA,NA,NA,"NearestStart",NA,"KI270337.1",147,501,6.72642
