"","space","start","end","width","peak","feature","names","strand","start_position","end_position","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","external_gene_name","V1","V2","V3","V5"
"1","10",125098725,125098726,2,"Sample8_046_Pool2_peak_2","ENSG00000175029","Sample8_046_Pool2_peak_2 ENSG00000175029","-",124984317,125161170,"inside",62445,62444,"NearestStart","CTBP2",10,125098725,125098726,8.97687
"2","10",130360323,130360324,2,"Sample8_046_Pool2_peak_3","ENSG00000276375","Sample8_046_Pool2_peak_3 ENSG00000276375","-",130282445,130286604,"upstream",-73719,73719,"NearestStart","RP11-339B9.1",10,130360323,130360324,7.30425
"3","11",11246800,11246801,2,"Sample8_046_Pool2_peak_4","ENSG00000255260","Sample8_046_Pool2_peak_4 ENSG00000255260","-",11243188,11243715,"upstream",-3085,3085,"NearestStart","CTD-3224I3.3",11,11246800,11246801,9.6337
"4","11",116130940,116130941,2,"Sample8_046_Pool2_peak_5","ENSG00000239600","Sample8_046_Pool2_peak_5 ENSG00000239600","-",115951105,115951491,"upstream",-179449,179449,"NearestStart","AP000797.2",11,116130940,116130941,6.84942
"5","12",127568992,127568993,2,"Sample8_046_Pool2_peak_6","ENSG00000255945","Sample8_046_Pool2_peak_6 ENSG00000255945","+",127598168,127599715,"upstream",-29176,29175,"NearestStart","RP11-351O2.1",12,127568992,127568993,8.97687
"6","14",59417262,59417263,2,"Sample8_046_Pool2_peak_7","ENSG00000252869","Sample8_046_Pool2_peak_7 ENSG00000252869","+",59400023,59400151,"downstream",17239,17111,"NearestStart","AL159140.1",14,59417262,59417263,7.27749
"7","14",76564805,76564806,2,"Sample8_046_Pool2_peak_8","ENSG00000271423","Sample8_046_Pool2_peak_8 ENSG00000271423","+",76633714,76634028,"upstream",-68909,68908,"NearestStart","CYCSP1",14,76564805,76564806,6.37355
"8","2",154577206,154577207,2,"Sample8_046_Pool2_peak_9","ENSG00000223290","Sample8_046_Pool2_peak_9 ENSG00000223290","+",154590407,154590528,"upstream",-13201,13200,"NearestStart","RNA5SP107",2,154577206,154577207,6.39991
"9","3",38084490,38084491,2,"Sample8_046_Pool2_peak_10","ENSG00000231668","Sample8_046_Pool2_peak_10 ENSG00000231668","+",38051759,38052395,"downstream",32731,32095,"NearestStart","PPP2R2DP1",3,38084490,38084491,8.90405
"10","5",11817081,11817082,2,"Sample8_046_Pool2_peak_11","ENSG00000169862","Sample8_046_Pool2_peak_11 ENSG00000169862","-",10971840,11904043,"inside",86962,86961,"NearestStart","CTNND2",5,11817081,11817082,11.15288
"11","7",157461409,157461410,2,"Sample8_046_Pool2_peak_12","ENSG00000234210","Sample8_046_Pool2_peak_12 ENSG00000234210","+",157466231,157499716,"upstream",-4822,4821,"NearestStart","AC006372.4",7,157461409,157461410,12.91321
